DE CVn b,Eclipse Timing Variations,4098.1,0.0,0.0
DENIS-P J082303.1-491201 b,Astrometry,246.36,9057.77,0.0
DH Tau b,Imaging,0.0,3496.0,0.0
DMPP-1 b,Radial Velocity,18.57,0.0,0.0
DMPP-1 c,Radial Velocity,6.584,0.0,0.0
DMPP-1 d,Radial Velocity,2.882,0.0,0.0
DMPP-1 e,Radial Velocity,5.516,0.0,0.0
DMPP-2 b,Radial Velocity,5.2072,0.0,0.0
DMPP-3 A b,Radial Velocity,6.6732,0.0,0.0
DP Leo b,Eclipse Timing Variations,10220.0,0.0,0.0
DS Tuc A b,Transit,8.138268,0.0,5.7
EPIC 201238110 b,Transit,28.1656,0.0,1.87
EPIC 201497682 b,Transit,2.13174,0.0,0.692
EPIC 201615463 c,Transit,3.80464,0.0,1.22
EPIC 201754305 d,Transit,2.71578,0.0,1.03
EPIC 201833600 c,Transit,3.96151,0.0,1.0
EPIC 201841433 b,Transit,4.16959,0.0,1.1
EPIC 205950854 c,Transit,8.050722,0.0,1.31
EPIC 206024342 b,Transit,4.50756,0.0,1.7
EPIC 206032309 b,Transit,2.87814,0.0,1.01
EPIC 206042996 b,Transit,5.29711,0.0,1.62
EPIC 206215704 b,Transit,2.25372,0.0,0.9
EPIC 206317286 b,Transit,1.58252,0.0,0.96
EPIC 211822797 b,Transit,21.169861,0.0,1.98
EPIC 211945201 b,Transit,19.49221,0.0,5.76
EPIC 212297394 b,Transit,2.28943,0.0,1.323
EPIC 212424622 b,Transit,18.0983,0.0,2.17
EPIC 212499991 b,Transit,34.885,0.0,1.6
EPIC 212587672 b,Transit,15.2841,0.0,1.12
EPIC 212737443 b,Transit,13.603,0.0,2.586
EPIC 212737443 c,Transit,65.55,0.0,2.69
EPIC 220554210 c,Transit,0.70531,0.0,1.48
EPIC 220674823 b,Transit,0.571331,0.0,1.82
EPIC 220674823 c,Transit,13.339079,0.0,2.73
EPIC 246851721 b,Transit,6.180235,953.49,11.781
EPIC 248847494 b,Transit,3650.0,4131.79,12.442
EPIC 249893012 b,Transit,3.5951,8.75,1.95
EPIC 249893012 c,Transit,15.624,14.67,3.67
EPIC 249893012 d,Transit,35.747,10.18,3.94
FU Tau b,Imaging,0.0,5085.28,0.0
Fomalhaut b,Imaging,555530.0,0.0,0.0
G 9-40 b,Transit,5.746007,0.0,2.025
GJ 1061 b,Radial Velocity,3.204,0.0,0.0
GJ 1061 c,Radial Velocity,6.689,0.0,0.0
GJ 1061 d,Radial Velocity,13.031,0.0,0.0
GJ 1132 b,Transit,1.628931,1.66,0.0
GJ 1132 c,Radial Velocity,8.929,0.0,0.0
GJ 1148 b,Radial Velocity,41.38,0.0,0.0
GJ 1148 c,Radial Velocity,532.58,0.0,0.0
GJ 1214 b,Transit,1.58040456,6.26125,2.847
GJ 1252 b,Transit,0.5182349,2.09,1.193
GJ 1265 b,Radial Velocity,3.6511,0.0,0.0
GJ 143 b,Transit,35.61253,22.7,2.61
GJ 15 A b,Radial Velocity,11.4407,0.0,0.0
