# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 16 01:34:03 2020
#
# User preference: *
#
# COLUMN 0 pl_hostname:    Host Name
# COLUMN 1 pl_name:        Planet Name
# COLUMN 2 pl_discmethod:  Discovery Method
# COLUMN 3 pl_orbper:      Orbital Period [days]
# COLUMN 4 dec_str:        Dec [sexagesimal]
# COLUMN 5 dec:            Dec [decimal degrees]
# COLUMN 6 pl_masse:       Planet Mass [Earth mass]
# COLUMN 7 pl_rade:        Planet Radius [Earth radii]
#
# pl_hostname,pl_name,pl_discmethod,pl_orbper,dec_str,dec,pl_masse,pl_rade
HD 90156,HD 90156 b,Radial Velocity,49.77000000,-29d38m43.9s,-29.645529,,
HD 9174,HD 9174 b,Radial Velocity,1179.00000000,-19d36m16.2s,-19.604502,,
HD 92788,HD 92788 b,Radial Velocity,325.80300000,-02d11m01.5s,-2.183756,,
HD 92788,HD 92788 c,Radial Velocity,11611.29750000,-02d11m01.5s,-2.183756,,
HD 92987,HD 92987 b,Radial Velocity,10354.83750000,-39d03m30.3s,-39.058426,,
HD 93083,HD 93083 b,Radial Velocity,143.58000000,-33d34m37.3s,-33.577023,,
HD 9446,HD 9446 b,Radial Velocity,30.05200000,+29d15m54.5s,29.265148,,
HD 9446,HD 9446 c,Radial Velocity,192.90000000,+29d15m54.5s,29.265148,,
HD 94834,HD 94834 b,Radial Velocity,1576.00000000,+24d08m34.0s,24.142782,,
HD 95086,HD 95086 b,Imaging,,-68d40m02.4s,-68.667343,1589.00000,
HD 95089,HD 95089 b,Radial Velocity,464.40000000,+01d43m45.2s,1.729216,,
HD 95089,HD 95089 c,Radial Velocity,1785.00000000,+01d43m45.2s,1.729216,,
HD 95127,HD 95127 b,Radial Velocity,482.00000000,+43d48m52.1s,43.814465,,
HD 95872,HD 95872 b,Radial Velocity,4375.00000000,-22d05m38.3s,-22.093977,,
HD 96063,HD 96063 b,Radial Velocity,362.50000000,-02d30m47.6s,-2.513218,,
HD 96127,HD 96127 b,Radial Velocity,647.29999000,+44d18m05.6s,44.301559,,
HD 96167,HD 96167 b,Radial Velocity,498.04000000,-10d17m28.7s,-10.291301,,
HD 97048,HD 97048 b,Disk Kinematics,,-77d39m17.5s,-77.654854,794.57500,
HD 97658,HD 97658 b,Radial Velocity,9.49090000,+25d42m37.4s,25.710384,9.53490,2.354
HD 98219,HD 98219 b,Radial Velocity,433.80000000,-23d58m31.5s,-23.975414,,
HD 98649,HD 98649 b,Radial Velocity,6022.97250000,-23d13m02.4s,-23.217342,,
HD 98736,HD 98736 b,Radial Velocity,968.80000000,+18d11m24.0s,18.190001,,
HD 99109,HD 99109 b,Radial Velocity,439.29999000,-01d31m44.7s,-1.529076,,
HD 99492,HD 99492 b,Radial Velocity,17.04310000,+03d00m22.8s,3.006328,,
HD 99706,HD 99706 b,Radial Velocity,841.00000000,+43d57m59.7s,43.966579,,
HD 99706,HD 99706 c,Radial Velocity,1278.00000000,+43d57m59.7s,43.966579,,
HIP 105854,HIP 105854 b,Radial Velocity,184.20000000,-37d49m45.9s,-37.829430,,
HIP 107773,HIP 107773 b,Radial Velocity,144.30000000,-64d42m45.1s,-64.712540,,
HIP 109384,HIP 109384 b,Radial Velocity,499.48000000,+71d18m51.6s,71.314331,,
HIP 109600,HIP 109600 b,Radial Velocity,232.08000000,+29d03m56.9s,29.065811,,
HIP 116454,HIP 116454 b,Transit,9.12050000,+00d26m43.9s,0.445516,12.71320,2.466
HIP 12961,HIP 12961 b,Radial Velocity,57.43500000,-23d05m11.8s,-23.086611,,
HIP 14810,HIP 14810 b,Radial Velocity,6.67389200,+21d05m50.5s,21.097359,,
HIP 14810,HIP 14810 c,Radial Velocity,147.74700000,+21d05m50.5s,21.097359,,
HIP 14810,HIP 14810 d,Radial Velocity,981.80000000,+21d05m50.5s,21.097359,,
HIP 35173,HIP 35173 b,Radial Velocity,41.51600000,-03d39m57.3s,-3.665910,,
HIP 41378,HIP 41378 b,Transit,15.57209800,+10d04m49.4s,10.080378,,
HIP 41378,HIP 41378 c,Transit,31.70648000,+10d04m49.4s,10.080378,,
HIP 41378,HIP 41378 d,Transit,1114.00000000,+10d04m49.4s,10.080378,,
HIP 41378,HIP 41378 e,Transit,,+10d04m49.4s,10.080378,,
HIP 41378,HIP 41378 f,Transit,1084.00000000,+10d04m49.4s,10.080378,,
HIP 5158,HIP 5158 b,Radial Velocity,345.72000000,-22d27m11.4s,-22.453154,,
HIP 5158,HIP 5158 c,Radial Velocity,9017.76000000,-22d27m11.4s,-22.453154,,
HIP 54373,HIP 54373 b,Radial Velocity,7.76000000,-19d17m29.4s,-19.291489,,
HIP 54373,HIP 54373 c,Radial Velocity,15.14400000,-19d17m29.4s,-19.291489,,
HIP 57274,HIP 57274 b,Radial Velocity,8.13520000,+30d57m33.5s,30.959293,,
HIP 57274,HIP 57274 c,Radial Velocity,32.03000000,+30d57m33.5s,30.959293,,
HIP 57274,HIP 57274 d,Radial Velocity,431.70000000,+30d57m33.5s,30.959293,,
HIP 63242,HIP 63242 b,Radial Velocity,124.60000000,-65d38m47.3s,-65.646461,,
HIP 65407,HIP 65407 b,Radial Velocity,28.12500000,+48d53m06.3s,48.885094,,
HIP 65407,HIP 65407 c,Radial Velocity,67.30000000,+48d53m06.3s,48.885094,,
HIP 65426,HIP 65426 b,Imaging,,-51d30m16.1s,-51.504459,2860.47000,16.814
HIP 65891,HIP 65891 b,Radial Velocity,1084.50000000,-58d39m51.7s,-58.664356,,
HIP 67537,HIP 67537 b,Radial Velocity,2556.50000000,-39d54m03.1s,-39.900856,,
HIP 67851,HIP 67851 b,Radial Velocity,88.90000000,-35d18m51.7s,-35.314362,,
HIP 67851,HIP 67851 c,Radial Velocity,2131.80000000,-35d18m51.7s,-35.314362,,
HIP 70849,HIP 70849 b,Radial Velocity,17337.50000000,-46d27m49.7s,-46.463818,,
HIP 71135,HIP 71135 b,Radial Velocity,87.19000000,-52d38m46.6s,-52.646271,,
HIP 74890,HIP 74890 b,Radial Velocity,822.30000000,-41d25m14.1s,-41.420570,,
HIP 78530,HIP 78530 b,Imaging,,-21d58m49.4s,-21.980389,7300.00000,
HIP 79098 AB,HIP 79098 AB b,Imaging,,-23d41m07.5s,-23.685415,6515.51500,
HIP 79431,HIP 79431 b,Radial Velocity,111.70000000,-18d52m31.8s,-18.875504,,
HIP 8541,HIP 8541 b,Radial Velocity,1560.20000000,-54d27m53.9s,-54.464962,,
HIP 91258,HIP 91258 b,Radial Velocity,5.05050000,+61d42m09.0s,61.702503,,
HIP 97233,HIP 97233 b,Radial Velocity,1058.80000000,-00d41m47.9s,-0.696645,,
HN Peg,HN Peg b,Imaging,,+14d46m19.0s,14.771939,6991.57000,11.777
HR 2562,HR 2562 b,Imaging,,-60d14m56.9s,-60.249146,9534.90000,12.442
HR 5183,HR 5183 b,Radial Velocity,27000.00000000,+06d21m01.4s,6.350375,,
HR 810,HR 810 b,Radial Velocity,302.79999000,-50d48m01.1s,-50.800293,,
HR 858,HR 858 b,Transit,3.58599000,-30d48m52.3s,-30.814520,,2.085
HR 858,HR 858 c,Transit,5.97293000,-30d48m52.3s,-30.814520,,1.939
HR 858,HR 858 d,Transit,11.23000000,-30d48m52.3s,-30.814520,,2.164
HR 8799,HR 8799 b,Imaging,170000.00000000,+21d08m03.3s,21.134251,2000.00000,13.000
HR 8799,HR 8799 c,Imaging,69000.00000000,+21d08m03.3s,21.134251,3000.00000,13.000
HR 8799,HR 8799 d,Imaging,37000.00000000,+21d08m03.3s,21.134251,3000.00000,13.000
HR 8799,HR 8799 e,Imaging,,+21d08m03.3s,21.134251,3178.30000,13.115
HU Aqr,HU Aqr AB b,Eclipse Timing Variations,2390.00000000,-05d17m40.5s,-5.294575,,
HU Aqr,HU Aqr AB c,Eclipse Timing Variations,4368.00000000,-05d17m40.5s,-5.294575,,
HW Vir,HW Vir b,Eclipse Timing Variations,4640.00000000,-08d40m16.8s,-8.671344,,
IC 4651 9122,IC 4651 9122 b,Radial Velocity,734.00000000,-49d56m56.1s,-49.948917,,
K2-10,K2-10 b,Transit,19.30440000,+01d41m26.3s,1.690636,27.00000,3.840
K2-100,K2-100 b,Transit,1.67383300,+20d06m21.8s,20.106064,,3.590
K2-101,K2-101 b,Transit,14.67728600,+18d56m01.9s,18.933874,,2.000
K2-102,K2-102 b,Transit,9.91561500,+19d46m43.7s,19.778811,,1.300
K2-104,K2-104 b,Transit,1.97423800,+19d46m25.8s,19.773829,,1.960
K2-105,K2-105 b,Transit,8.26770400,+13d29m51.1s,13.497530,,3.370
K2-107,K2-107 b,Transit,3.31395900,-22d17m36.2s,-22.293402,,15.980
K2-108,K2-108 b,Transit,4.73399900,+16d25m10.6s,16.419609,,5.330
K2-11,K2-11 b,Transit,39.93767000,+01d59m12.6s,1.986840,,7.550
K2-110,K2-110 b,Transit,13.86387000,-12d17m04.2s,-12.284491,,2.560
K2-111,K2-111 b,Transit,5.35117000,+21d17m55.3s,21.298685,8.60000,1.900
K2-113,K2-113 b,Transit,5.81768500,+06d52m08.0s,6.868895,,12.140
K2-114,K2-114 b,Transit,11.39101300,+11d55m20.2s,11.922265,,10.670
K2-115,K2-115 b,Transit,20.27261500,+12d16m55.0s,12.281936,,12.060
K2-116,K2-116 b,Transit,4.65541100,-11d34m43.3s,-11.578691,,0.690
K2-117,K2-117 b,Transit,1.29160000,+10d28m08.9s,10.469131,,2.030
K2-117,K2-117 c,Transit,5.44401700,+10d28m08.9s,10.469131,,2.060
K2-118,K2-118 b,Transit,50.92092000,+15d39m21.5s,15.655983,,2.540
K2-119,K2-119 b,Transit,7.72728300,+16d54m06.7s,16.901854,,2.530
K2-12,K2-12 b,Transit,8.28212000,+02d14m41.6s,2.244884,,2.330
K2-120,K2-120 b,Transit,9.56274200,+17d11m26.5s,17.190685,,2.010
K2-121,K2-121 b,Transit,5.18576100,+17d34m45.8s,17.579397,,7.500
K2-122,K2-122 b,Transit,2.21928200,+20d21m34.5s,20.359570,,1.210
K2-123,K2-123 b,Transit,30.95152400,+21d27m12.7s,21.453533,,2.760
K2-124,K2-124 b,Transit,6.41365100,+23d07m58.4s,23.132891,,2.900
K2-125,K2-125 b,Transit,21.75026400,-14d56m51.4s,-14.947603,,2.180
K2-126,K2-126 b,Transit,7.38565500,-13d34m36.9s,-13.576928,,1.970
K2-127,K2-127 b,Transit,3.58816300,-11d35m20.3s,-11.588979,,8.370
K2-128,K2-128 b,Transit,5.67581900,-08d35m49.4s,-8.597065,,1.420
K2-129,K2-129 b,Transit,8.23949300,-25d38m41.9s,-25.644964,,1.040
K2-13,K2-13 b,Transit,39.91488000,+02d30m09.7s,2.502696,,1.890
K2-130,K2-130 b,Transit,2.49412000,-19d41m26.9s,-19.690807,,1.250
K2-131,K2-131 b,Transit,0.36931000,-09d45m54.8s,-9.765218,,1.700
K2-132,K2-132 b,Transit,9.17510000,-08d44m49.8s,-8.747175,155.73670,14.572
K2-133,K2-133 b,Transit,3.07133000,+25d00m36.0s,25.010006,,1.340
K2-133,K2-133 c,Transit,4.86784000,+25d00m36.0s,25.010006,,1.603
K2-133,K2-133 d,Transit,11.02454000,+25d00m36.0s,25.010006,,2.003
K2-133,K2-133 e,Transit,26.58410000,+25d00m36.0s,25.010006,,1.730
K2-136,K2-136 b,Transit,7.97529200,+22d52m57.8s,22.882721,,0.990
K2-136,K2-136 c,Transit,17.30713700,+22d52m57.8s,22.882721,,2.910
K2-136,K2-136 d,Transit,25.57506500,+22d52m57.8s,22.882721,,1.450
K2-137,K2-137 b,Transit,0.17971500,-06d11m42.8s,-6.195224,158.91500,0.890
K2-138,K2-138 b,Transit,2.35322000,-10d50m58.9s,-10.849696,,1.570
K2-138,K2-138 c,Transit,3.55987000,-10d50m58.9s,-10.849696,,2.520
K2-138,K2-138 d,Transit,5.40478000,-10d50m58.9s,-10.849696,,2.660
K2-138,K2-138 e,Transit,8.26144000,-10d50m58.9s,-10.849696,,3.290
K2-138,K2-138 f,Transit,12.75759000,-10d50m58.9s,-10.849696,,2.810
K2-139,K2-139 b,Transit,28.38061900,-17d54m38.5s,-17.910688,,9.110
K2-14,K2-14 b,Transit,8.36802000,+02d35m39.3s,2.594245,,4.810
K2-140,K2-140 b,Transit,6.56918000,-09d36m27.5s,-9.607640,,12.250
K2-141,K2-141 b,Transit,0.28032440,-01d11m21.4s,-1.189274,5.08000,1.510
K2-141,K2-141 c,Transit,7.74850000,-01d11m21.4s,-1.189274,7.40000,7.000
K2-146,K2-146 b,Transit,2.64460000,+19d05m34.4s,19.092878,5.77000,2.050
K2-146,K2-146 c,Transit,4.00498000,+19d05m34.4s,19.092878,7.49000,2.190
K2-147,K2-147 b,Transit,0.96191700,-28d29m52.2s,-28.497833,,1.380
K2-148,K2-148 b,Transit,4.38395000,-00d11m35.4s,-0.193155,,1.330
K2-148,K2-148 c,Transit,6.92260000,-00d11m35.4s,-0.193155,,1.730
K2-148,K2-148 d,Transit,9.75790000,-00d11m35.4s,-0.193155,,1.640
K2-149,K2-149 b,Transit,11.33200000,+07d16m37.6s,7.277100,,1.640
K2-15,K2-15 b,Transit,11.81040000,+04d15m17.1s,4.254747,,2.480
K2-150,K2-150 b,Transit,10.59357000,+08d59m15.1s,8.987539,,2.000
K2-151,K2-151 b,Transit,3.83547600,+09d30m05.0s,9.501381,,1.490
K2-152,K2-152 b,Transit,32.64790000,-05d49m38.7s,-5.827410,,2.290
K2-153,K2-153 b,Transit,7.51574000,+02d01m15.4s,2.020953,,2.000
K2-154,K2-154 b,Transit,3.67626000,-02d40m10.1s,-2.669481,,1.990
K2-154,K2-154 c,Transit,7.95486000,-02d40m10.1s,-2.669481,,2.070
K2-155,K2-155 b,Transit,6.34200000,+21d21m13.0s,21.353600,,1.800
K2-155,K2-155 c,Transit,13.85000000,+21d21m13.0s,21.353600,,2.600
K2-155,K2-155 d,Transit,40.71800000,+21d21m13.0s,21.353600,,1.900
K2-156,K2-156 b,Transit,0.81314000,-06d17m39.1s,-6.294205,,1.150
K2-157,K2-157 b,Transit,0.36525700,-05d46m55.2s,-5.781991,,1.055
K2-158,K2-158 b,Transit,10.06049000,-05d43m18.2s,-5.721709,,2.640
K2-158,K2-158 c,Transit,5.90279000,-05d43m18.2s,-5.721709,,1.280
K2-159,K2-159 b,Transit,12.42205000,-03d34m50.6s,-3.580723,,2.260
K2-16,K2-16 b,Transit,7.61880000,+04d33m26.4s,4.557340,,2.020
K2-16,K2-16 c,Transit,19.07863000,+04d33m26.4s,4.557340,,2.540
K2-160,K2-160 b,Transit,3.70587100,-03d33m11.1s,-3.553082,,3.178
K2-161,K2-161 b,Transit,9.28318800,-03d29m44.2s,-3.495612,,6.117
K2-162,K2-162 b,Transit,9.45889000,-01d06m40.9s,-1.111351,,1.440
K2-163,K2-163 b,Transit,6.67311700,-00d32m20.6s,-0.539055,,2.466
K2-164,K2-164 b,Transit,17.35506600,-00d03m46.2s,-0.062840,,3.249
K2-165,K2-165 b,Transit,2.35499200,+00d58m06.2s,0.968397,,1.274
K2-165,K2-165 c,Transit,4.38274500,+00d58m06.2s,0.968397,,1.554
K2-165,K2-165 d,Transit,14.10136100,+00d58m06.2s,0.968397,,2.648
K2-166,K2-166 b,Transit,8.52695000,+02d16m56.8s,2.282436,,2.190
K2-167,K2-167 b,Transit,9.97748100,-18d00m40.2s,-18.011171,,2.819
K2-168,K2-168 b,Transit,15.85230000,-16d20m30.3s,-16.341755,,1.860
K2-169,K2-169 b,Transit,6.38080300,-14d35m57.8s,-14.599381,,1.273
K2-17,K2-17 b,Transit,17.96753000,+06d24m44.1s,6.412261,,2.230
K2-170,K2-170 b,Transit,7.57654400,-14d35m35.8s,-14.593286,,1.418
K2-170,K2-170 c,Transit,12.40004700,-14d35m35.8s,-14.593286,,1.802
K2-171,K2-171 b,Transit,5.62846600,-13d25m43.9s,-13.428865,,2.687
K2-172,K2-172 b,Transit,14.31694100,-12d33m24.8s,-12.556900,,1.666
K2-172,K2-172 c,Transit,29.62682000,-12d33m24.8s,-12.556900,,3.206
K2-173,K2-173 b,Transit,5.86869900,+15d37m30.1s,15.625037,,1.608
K2-174,K2-174 b,Transit,19.56230700,+16d20m50.8s,16.347446,,2.600
K2-175,K2-175 b,Transit,9.52598800,+17d35m03.1s,17.584192,,2.038
K2-176,K2-176 b,Transit,5.32943900,+17d54m25.5s,17.907072,,1.491
K2-177,K2-177 b,Transit,14.15518500,+20d44m09.9s,20.736078,,2.116
K2-178,K2-178 b,Transit,8.74781800,+22d26m05.5s,22.434870,,3.558
K2-179,K2-179 b,Transit,5.17219100,+23d45m24.5s,23.756807,,2.513
K2-18,K2-18 b,Transit,32.93962300,+07d35m18.2s,7.588391,8.92000,2.370
K2-18,K2-18 c,Radial Velocity,8.96200000,+07d35m18.2s,7.588391,,
K2-180,K2-180 b,Transit,8.86720900,+10d14m49.1s,10.246968,,2.310
K2-181,K2-181 b,Transit,6.89425600,+10d54m37.1s,10.910294,,2.840
K2-182,K2-182 b,Transit,4.73683700,+10d58m58.6s,10.982941,,2.760
K2-183,K2-183 b,Transit,0.46926900,+14d01m10.1s,14.019461,,2.599
K2-183,K2-183 c,Transit,10.79263500,+14d01m10.1s,14.019461,,2.870
K2-183,K2-183 d,Transit,22.63196400,+14d01m10.1s,14.019461,,2.860
K2-184,K2-184 b,Transit,16.99573100,+14d27m43.0s,14.461936,,1.550
K2-185,K2-185 b,Transit,10.61664600,+14d41m25.2s,14.690320,,1.313
K2-186,K2-186 b,Transit,41.47421900,+18d49m31.6s,18.825455,,3.172
K2-187,K2-187 b,Transit,0.77392000,+23d11m33.4s,23.192600,,1.300
K2-187,K2-187 c,Transit,2.87204200,+23d11m33.4s,23.192600,,1.800
K2-187,K2-187 d,Transit,7.14921000,+23d11m33.4s,23.192600,,3.170
K2-187,K2-187 e,Transit,13.60987800,+23d11m33.4s,23.192600,,2.380
K2-188,K2-188 b,Transit,1.74216900,+23d21m26.9s,23.357481,,1.350
K2-188,K2-188 c,Transit,7.81025300,+23d21m26.9s,23.357481,,2.830
K2-189,K2-189 b,Transit,2.58830900,-15d02m10.9s,-15.036359,,1.520
K2-189,K2-189 c,Transit,6.67919500,-15d02m10.9s,-15.036359,,2.500
K2-19,K2-19 b,Transit,7.91940000,+00d36m12.9s,0.603575,,7.740
K2-19,K2-19 c,Transit,11.90715000,+00d36m12.9s,0.603575,,4.860
K2-19,K2-19 d,Transit,2.50856000,+00d36m12.9s,0.603575,,1.140
K2-190,K2-190 b,Transit,10.09885800,-13d09m39.2s,-13.160896,,1.357
K2-190,K2-190 c,Transit,21.57402300,-13d09m39.2s,-13.160896,,1.093
K2-191,K2-191 b,Transit,2.85864600,-12d48m23.6s,-12.806568,,1.579
K2-192,K2-192 b,Transit,4.16281700,-11d33m22.5s,-11.556253,,1.520
K2-193,K2-193 b,Transit,14.78688900,-11d00m33.5s,-11.009296,,3.950
K2-194,K2-194 b,Transit,39.72138600,-08d55m37.7s,-8.927150,,3.642
K2-195,K2-195 b,Transit,15.85297500,-08d30m34.1s,-8.509480,,3.130
K2-195,K2-195 c,Transit,28.48278600,-08d30m34.1s,-8.509480,,2.576
K2-196,K2-196 b,Transit,48.32422200,-08d28m18.2s,-8.471721,,3.600
K2-197,K2-197 b,Transit,8.35788100,-07d22m26.4s,-7.374002,,2.560
K2-198,K2-198 b,Transit,17.04286830,-06d27m53.6s,-6.464886,,4.189
K2-198,K2-198 c,Transit,3.35960550,-06d27m53.6s,-6.464886,,1.423
K2-198,K2-198 d,Transit,7.45001770,-06d27m53.6s,-6.464886,,2.438
K2-199,K2-199 b,Transit,3.22533800,-06d08m10.1s,-6.136143,,1.870
K2-199,K2-199 c,Transit,7.37469400,-06d08m10.1s,-6.136143,,2.780
K2-200,K2-200 b,Transit,2.84988300,-04d36m36.8s,-4.610228,,1.364
K2-201,K2-201 b,Transit,1.05979000,-23d07m51.7s,-23.131035,,1.400
K2-201,K2-201 c,Transit,22.77987800,-23d07m51.7s,-23.131035,,3.286
K2-202,K2-202 b,Transit,3.40516400,-22d24m25.3s,-22.407034,,2.302
K2-203,K2-203 b,Transit,9.69510100,-01d11m45.2s,-1.195891,,1.371
K2-204,K2-204 b,Transit,7.05578400,-00d31m03.4s,-0.517620,,3.046
K2-205,K2-205 b,Transit,26.67226300,+00d25m33.6s,0.425996,,1.996
K2-206,K2-206 b,Transit,18.29454900,+00d35m35.7s,0.593257,,2.795
K2-207,K2-207 b,Transit,12.48749000,+00d38m26.9s,0.640796,,2.606
K2-208,K2-208 b,Transit,4.19094800,+00d53m21.0s,0.889177,,1.679
K2-209,K2-209 b,Transit,2.08061500,+01d23m01.7s,1.383812,,0.869
K2-21,K2-21 b,Transit,9.32503800,-14d29m20.4s,-14.488987,,1.840
K2-21,K2-21 c,Transit,15.50192000,-14d29m20.4s,-14.488987,,2.490
K2-210,K2-210 b,Transit,0.57023300,+01d34m41.8s,1.578266,,0.819
K2-211,K2-211 b,Transit,0.66955800,+01d42m17.8s,1.704954,,1.375
K2-212,K2-212 b,Transit,9.79551000,+03d05m49.0s,3.096936,,2.520
K2-213,K2-213 b,Transit,8.13087000,+03d30m27.7s,3.507705,,1.514
K2-214,K2-214 b,Transit,8.59680200,+04d13m40.1s,4.227798,,2.430
K2-215,K2-215 b,Transit,8.26964800,+06d07m26.0s,6.123902,,2.124
K2-216,K2-216 b,Transit,2.17480000,+06d20m49.1s,6.346971,8.00000,1.750
K2-217,K2-217 b,Transit,14.07452400,+06d28m53.6s,6.481562,,3.579
K2-218,K2-218 b,Transit,8.67988500,+06d50m47.3s,6.846460,,2.569
K2-219,K2-219 b,Transit,3.90128700,+08d52m03.5s,8.867640,,1.348
K2-219,K2-219 c,Transit,6.66767000,+08d52m03.5s,8.867640,,1.438
K2-219,K2-219 d,Transit,11.13727800,+08d52m03.5s,8.867640,,2.576
K2-22,K2-22 b,Transit,0.38107800,+02d37m08.7s,2.619070,444.96200,2.500
K2-220,K2-220 b,Transit,13.68325600,+09d31m00.5s,9.516806,,2.390
K2-221,K2-221 b,Transit,2.39909400,+10d11m22.9s,10.189687,,1.679
K2-222,K2-222 b,Transit,15.38706300,+11d45m12.3s,11.753423,,2.390
K2-223,K2-223 b,Transit,0.50565000,-10d16m55.3s,-10.282037,,0.890
K2-223,K2-223 c,Transit,4.56327000,-10d16m55.3s,-10.282037,,1.570
K2-224,K2-224 b,Transit,4.47904000,-10d03m38.4s,-10.060654,,1.560
K2-224,K2-224 c,Transit,10.09489000,-10d03m38.4s,-10.060654,,2.410
K2-225,K2-225 b,Transit,15.87209000,-09d37m29.3s,-9.624804,,3.490
K2-226,K2-226 b,Transit,3.27108000,-09d33m45.5s,-9.562642,,1.540
K2-227,K2-227 b,Transit,13.62183200,-08d28m41.7s,-8.478236,,1.666
K2-228,K2-228 b,Transit,2.69828000,-06d50m03.3s,-6.834258,,1.210
K2-229,K2-229 b,Transit,0.58426000,-06d43m18.7s,-6.721861,,1.140
K2-229,K2-229 c,Transit,8.32727000,-06d43m18.7s,-6.721861,,2.030
K2-230,K2-230 b,Transit,2.86041000,-06d34m34.0s,-6.576109,,1.960
K2-231,K2-231 b,Transit,13.84190100,-15d46m16.0s,-15.771108,,2.500
K2-232,K2-232 b,Transit,11.16845400,+18d39m16.3s,18.654535,126.49634,11.209
K2-233,K2-233 b,Transit,2.46746000,-20d13m54.1s,-20.231684,,1.398
K2-233,K2-233 c,Transit,7.06142000,-20d13m54.1s,-20.231684,,1.335
K2-233,K2-233 d,Transit,24.36620000,-20d13m54.1s,-20.231684,,2.640
K2-237,K2-237 b,Transit,2.18055770,-28d42m38.0s,-28.710564,392.83788,18.405
K2-238,K2-238 b,Transit,3.20466000,-07d51m27.0s,-7.857499,273.33380,14.572
K2-239,K2-239 b,Transit,5.24000000,+04d26m28.9s,4.441349,,1.100
K2-239,K2-239 c,Transit,7.77500000,+04d26m28.9s,4.441349,,1.000
K2-239,K2-239 d,Transit,10.11500000,+04d26m28.9s,4.441349,,1.100
K2-24,K2-24 b,Transit,20.88977000,-24d59m25.2s,-24.990332,19.00000,5.400
K2-24,K2-24 c,Transit,42.33910000,-24d59m25.2s,-24.990332,15.40000,7.500
K2-240,K2-240 b,Transit,6.03400000,-17d52m30.8s,-17.875217,,2.000
K2-240,K2-240 c,Transit,20.52300000,-17d52m30.8s,-17.875217,,1.800
K2-241,K2-241 b,Transit,26.81990000,-06d48m17.7s,-6.804924,,2.550
K2-242,K2-242 b,Transit,6.51389000,-06d31m04.3s,-6.517851,,2.540
K2-243,K2-243 b,Transit,11.54182000,-04d53m57.1s,-4.899185,,2.170
K2-243,K2-243 c,Transit,24.94598000,-04d53m57.1s,-4.899185,,2.010
K2-244,K2-244 b,Transit,21.06884000,-03d49m54.7s,-3.831868,,1.750
K2-245,K2-245 b,Transit,11.89307000,-01d35m27.2s,-1.590889,,4.340
K2-246,K2-246 b,Transit,5.76918000,-01d09m38.0s,-1.160560,,3.490
K2-247,K2-247 b,Transit,2.25021000,-10d04m09.2s,-10.069232,,2.120
K2-247,K2-247 c,Transit,6.49424000,-10d04m09.2s,-10.069232,,2.190
K2-248,K2-248 b,Transit,7.17256000,-09d24m50.4s,-9.414005,,2.570
K2-249,K2-249 b,Transit,12.40900000,-08d59m42.4s,-8.995114,,2.790
K2-25,K2-25 b,Transit,3.48455200,+15d14m51.9s,15.247763,,3.430
K2-250,K2-250 b,Transit,4.01457000,-08d58m32.8s,-8.975785,,2.440
K2-251,K2-251 b,Transit,9.30075000,-08d32m09.3s,-8.535920,,2.350
K2-252,K2-252 b,Transit,13.81513000,-08d18m34.3s,-8.309520,,1.740
K2-253,K2-253 b,Transit,4.00167000,-06d22m44.0s,-6.378884,,12.670
K2-254,K2-254 b,Transit,4.09639000,-04d43m02.0s,-4.717236,,1.630
K2-254,K2-254 c,Transit,12.11839000,-04d43m02.0s,-4.717236,,2.190
K2-255,K2-255 b,Transit,1.96417000,-03d22m14.0s,-3.370542,,2.900
K2-256,K2-256 b,Transit,5.52011000,-02d03m57.4s,-2.065931,,2.630
K2-257,K2-257 b,Transit,1.60588000,-01d57m11.4s,-1.953159,,0.830
K2-258,K2-258 b,Transit,19.09210000,-01d09m39.3s,-1.160920,,3.000
K2-259,K2-259 b,Transit,15.48043000,+01d34m00.7s,1.566849,,2.320
K2-26,K2-26 b,Transit,14.56650000,+24d35m47.1s,24.596411,,2.670
K2-260,K2-260 b,Transit,2.62666570,+16d52m03.8s,16.867718,451.31860,17.396
K2-261,K2-261 b,Transit,11.63344000,+00d29m36.1s,0.493352,70.87609,9.528
K2-263,K2-263 b,Transit,50.81894700,+15d40m50.3s,15.680626,14.80000,2.410
K2-264,K2-264 b,Transit,5.84000200,+19d41m54.5s,19.698462,,2.231
K2-264,K2-264 c,Transit,19.66030200,+19d41m54.5s,19.698462,,2.668
K2-265,K2-265 b,Transit,2.36917200,-14d29m40.9s,-14.494689,6.54000,1.710
K2-266,K2-266 b,Transit,0.65852400,+00d56m15.3s,0.937571,,3.300
K2-266,K2-266 c,Transit,7.81400000,+00d56m15.3s,0.937571,,0.705
K2-266,K2-266 d,Transit,14.69700000,+00d56m15.3s,0.937571,8.90000,2.930
K2-266,K2-266 e,Transit,19.48200000,+00d56m15.3s,0.937571,14.30000,2.730
K2-268,K2-268 b,Transit,2.15189400,+11d50m53.8s,11.848265,,1.410
K2-268,K2-268 c,Transit,9.32684100,+11d50m53.8s,11.848265,,2.690
K2-269,K2-269 b,Transit,4.14496500,+13d00m52.8s,13.014676,,1.570
K2-27,K2-27 b,Transit,6.77131500,+01d13m50.7s,1.230738,30.90000,4.480
K2-270,K2-270 b,Transit,1.54306900,+13d32m59.4s,13.549833,,1.380
