# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 16 01:34:03 2020
#
# User preference: *
#
# COLUMN 0 pl_hostname:    Host Name
# COLUMN 1 pl_name:        Planet Name
# COLUMN 2 pl_discmethod:  Discovery Method
# COLUMN 3 pl_orbper:      Orbital Period [days]
# COLUMN 4 dec_str:        Dec [sexagesimal]
# COLUMN 5 dec:            Dec [decimal degrees]
# COLUMN 6 pl_masse:       Planet Mass [Earth mass]
# COLUMN 7 pl_rade:        Planet Radius [Earth radii]
#
# pl_hostname,pl_name,pl_discmethod,pl_orbper,dec_str,dec,pl_masse,pl_rade
BD-13 2130,BD-13 2130 b,Radial Velocity,714.29999000,-13d54m23.9s,-13.906639,,
BD-17 63,BD-17 63 b,Radial Velocity,655.60000000,-16d13m34.8s,-16.226345,,
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,Imaging,10037.50000000,+10d13m43.0s,10.228611,3337.10000,
CHXR 73,CHXR 73 b,Imaging,,-77d37m33.2s,-77.625877,3994.48600,
CI Tau,CI Tau b,Radial Velocity,8.98910000,+22d50m30.1s,22.841696,3686.82800,
CT Cha,CT Cha b,Imaging,,-76d27m19.4s,-76.455383,5403.00000,24.660
CoRoT-1,CoRoT-1 b,Transit,1.50895570,-03d06m07.7s,-3.102147,327.35000,16.700
CoRoT-10,CoRoT-10 b,Transit,13.24060000,+00d44m46.1s,0.746143,874.00000,10.870
CoRoT-11,CoRoT-11 b,Transit,2.99433000,+05d56m15.7s,5.937688,740.51000,16.030
CoRoT-12,CoRoT-12 b,Transit,2.82804200,-01d17m47.2s,-1.296439,291.43800,16.140
CoRoT-13,CoRoT-13 b,Transit,4.03519000,-05d05m11.2s,-5.086445,415.70400,9.920
CoRoT-14,CoRoT-14 b,Transit,1.51214000,-05d32m09.7s,-5.536037,2415.40000,12.220
CoRoT-16,CoRoT-16 b,Transit,5.35227000,-06d00m09.3s,-6.002595,170.03200,13.110
CoRoT-17,CoRoT-17 b,Transit,3.76810000,-06d36m44.0s,-6.612234,772.29000,11.430
CoRoT-18,CoRoT-18 b,Transit,1.90006930,-00d01m53.7s,-0.031586,1102.82000,14.680
CoRoT-19,CoRoT-19 b,Transit,3.89713000,-00d10m14.5s,-0.170681,352.78000,14.460
CoRoT-2,CoRoT-2 b,Transit,1.74299350,+01d23m01.4s,1.383714,1102.82000,16.432
CoRoT-20,CoRoT-20 b,Transit,9.24285000,+00d13m36.9s,0.226919,1366.66900,
CoRoT-20,CoRoT-20 c,Radial Velocity,1675.00000000,+00d13m36.9s,0.226919,,
CoRoT-21,CoRoT-21 b,Transit,2.72474000,-00d17m56.868s,-0.299130,718.29580,14.572
CoRoT-22,CoRoT-22 b,Transit,9.75598000,+06d13m08.9s,6.219136,12.20000,4.880
CoRoT-23,CoRoT-23 b,Transit,3.63130000,+04d21m28.1s,4.357806,889.90000,11.770
CoRoT-24,CoRoT-24 b,Transit,5.11340000,-03d43m09.5s,-3.719301,5.70000,3.700
CoRoT-24,CoRoT-24 c,Transit,11.75900000,-03d43m09.5s,-3.719301,28.00000,5.000
CoRoT-25,CoRoT-25 b,Transit,4.86069000,+06d30m49.8s,6.513829,85.81000,12.110
CoRoT-26,CoRoT-26 b,Transit,4.20474000,+06d58m11.2s,6.969787,165.26000,14.120
CoRoT-27,CoRoT-27 b,Transit,3.57532000,+05d32m18.5s,5.538462,3302.11000,11.287
CoRoT-28,CoRoT-28 b,Transit,5.20851000,+05d34m25.4s,5.573730,153.82972,10.705
CoRoT-29,CoRoT-29 b,Transit,2.85057000,+06d28m46.7s,6.479651,270.15550,10.088
CoRoT-3,CoRoT-3 b,Transit,4.25680000,+00d07m18.6s,0.121820,6883.91000,11.320
CoRoT-4,CoRoT-4 b,Transit,9.20205000,-00d40m22.0s,-0.672774,228.83000,13.340
CoRoT-5,CoRoT-5 b,Transit,4.03789620,+00d48m54.9s,0.815239,148.42000,15.558
CoRoT-6,CoRoT-6 b,Transit,8.88659300,+06d39m47.5s,6.663194,940.74000,13.068
CoRoT-7,CoRoT-7 b,Transit,0.85359163,-01d03m46.9s,-1.063033,3.17830,1.681
CoRoT-7,CoRoT-7 c,Radial Velocity,3.69800000,-01d03m46.9s,-1.063033,8.40000,
CoRoT-8,CoRoT-8 b,Transit,6.21229000,+01d25m35.2s,1.426452,69.92000,6.390
CoRoT-9,CoRoT-9 b,Transit,95.27265600,+06d12m15.0s,6.204172,266.97720,11.949
CoRoTID 223977153,CoRoTID 223977153 b,Transit,6.71837000,+09d15m26.8s,9.257431,47.67450,6.389
DE CVn,DE CVn b,Eclipse Timing Variations,4098.10000000,+45d32m46.69s,45.546303,,
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,Astrometry,246.36000000,-49d12m01.3s,-49.200359,9057.77000,
DH Tau,DH Tau b,Imaging,,+26d32m58.3s,26.549520,3496.00000,
DMPP-1,DMPP-1 b,Radial Velocity,18.57000000,-10d37m48.8s,-10.630232,,
DMPP-1,DMPP-1 c,Radial Velocity,6.58400000,-10d37m48.8s,-10.630232,,
DMPP-1,DMPP-1 d,Radial Velocity,2.88200000,-10d37m48.8s,-10.630232,,
DMPP-1,DMPP-1 e,Radial Velocity,5.51600000,-10d37m48.8s,-10.630232,,
DMPP-2,DMPP-2 b,Radial Velocity,5.20720000,-34d27m32.9s,-34.459129,,
DMPP-3 A,DMPP-3 A b,Radial Velocity,6.67320000,-72d30m45.6s,-72.512665,,
DP Leo,DP Leo b,Eclipse Timing Variations,10220.00000000,+17d57m41.1s,17.961417,,
DS Tuc A,DS Tuc A b,Transit,8.13826800,-69d11m44.7s,-69.195747,,5.700
EPIC 201238110,EPIC 201238110 b,Transit,28.16560000,-03d23m21.8s,-3.389389,,1.870
EPIC 201497682,EPIC 201497682 b,Transit,2.13174000,+00d29m17.2s,0.488114,,0.692
K2-166,EPIC 201615463 c,Transit,3.80464000,+02d16m56.8s,2.282436,,1.220
K2-16,EPIC 201754305 d,Transit,2.71578000,+04d33m26.4s,4.557340,,1.030
K2-50,EPIC 201833600 c,Transit,3.96151000,+05d59m18.2s,5.988378,,1.000
EPIC 201841433,EPIC 201841433 b,Transit,4.16959000,+06d08m05.5s,6.134857,,1.100
K2-168,EPIC 205950854 c,Transit,8.05072200,-16d20m30.3s,-16.341755,,1.310
